"","year","other","usa","diff","hi_lo"
"1",1960,68.6,69.9,1.30000000000001,"Below"
"2",1961,69.2,70.4,1.2,"Below"
"3",1962,68.9,70.2,1.3,"Below"
"4",1963,69.1,70,0.900000000000006,"Below"
"5",1964,69.5,70.3,0.799999999999997,"Below"
"6",1965,69.6,70.3,0.700000000000003,"Below"
"7",1966,69.9,70.3,0.399999999999991,"Below"
"8",1967,70.1,70.7,0.600000000000009,"Below"
"9",1968,70.1,70.4,0.300000000000011,"Below"
"10",1969,70.1,70.6,0.5,"Below"
"11",1970,69.8,70.9,1.10000000000001,"Below"
"12",1971,70.4,71.2,0.799999999999997,"Below"
"13",1972,70.6,71.3,0.700000000000003,"Below"
"14",1973,70.7,71.5,0.799999999999997,"Below"
"15",1974,71,72.1,1.09999999999999,"Below"
"16",1975,71.3,72.7,1.40000000000001,"Below"
"17",1976,71.6,73,1.40000000000001,"Below"
"18",1977,72,73.4,1.40000000000001,"Below"
"19",1978,72.1,73.5,1.40000000000001,"Below"
"20",1979,72.3,73.9,1.60000000000001,"Below"
"21",1980,72.6,73.7,1.10000000000001,"Below"
"22",1981,72.9,74.1,1.19999999999999,"Below"
"23",1982,73.1,74.5,1.40000000000001,"Below"
"24",1983,73.2,74.6,1.39999999999999,"Below"
"25",1984,73.5,74.7,1.2,"Below"
"26",1985,73.7,74.7,1,"Below"
"27",1986,74,74.7,0.700000000000003,"Below"
"28",1987,74.3,74.9,0.600000000000009,"Below"
"29",1988,74.5,74.9,0.400000000000006,"Below"
"30",1989,74.7,75.1,0.399999999999991,"Below"
"31",1990,74.8,75.3,0.5,"Below"
"32",1991,75,75.5,0.5,"Below"
"33",1992,75.2,75.7,0.5,"Below"
"34",1993,75.4,75.5,0.0999999999999943,"Below"
"35",1994,75.7,75.7,0,"Below"
"36",1995,75.8,75.7,-0.0999999999999943,"Above"
"37",1996,76.2,76.1,-0.100000000000009,"Above"
"38",1997,76.4,76.5,0.0999999999999943,"Below"
"39",1998,76.6,76.7,0.100000000000009,"Below"
"40",1999,76.8,76.7,-0.0999999999999943,"Above"
"41",2000,77.2,76.7,-0.5,"Above"
"42",2001,77.5,76.9,-0.599999999999994,"Above"
"43",2002,77.5,77,-0.5,"Above"
"44",2003,77.6,77.1,-0.5,"Above"
"45",2004,78.1,77.6,-0.5,"Above"
"46",2005,78.3,77.6,-0.700000000000003,"Above"
"47",2006,78.6,77.8,-0.799999999999997,"Above"
"48",2007,78.8,78.1,-0.700000000000003,"Above"
"49",2008,79.1,78.1,-1,"Above"
"50",2009,79.3,78.5,-0.799999999999997,"Above"
"51",2010,79.6,78.6,-1,"Above"
"52",2011,79.9,78.7,-1.2,"Above"
"53",2012,80,78.8,-1.2,"Above"
"54",2013,80.4,78.8,-1.60000000000001,"Above"
"55",2014,80.7,78.9,-1.8,"Above"
"56",2015,80.6,78.8,-1.8,"Above"
"57",2016,77.1,NA,NA,NA
